Мен бираз кеч къалаятам;Я немного опаздываю
Вай, не дюльбер чечеклер!;Ой, какие красивые цветы!
Корюнишинъ айретте къалдыра;Ты выглядишь потрясающе
Корюнишинъ мефтюн эте;Ты выглядишь восхитительно
Корюнишинъ аджайип;Ты выглядишь шикарно
Тебессюминъ дюльбер;У тебя красивая улыбка
Комплимент ичюн сагъ ол;Спасибо за комплимент
Сен пек дюльбер бир къызсынъ!;Ты очень красивая девушка!
Сен яхшы бир огълансынъ!;Ты хороший парень!
Мен сени ойнамагъа давет этем;Приглашаю тебя на танец
Эдепли олунъыз!;Ведите себя прилично!
Бельки, даа бир ерге барайыкъ?;Может, пойдём ещё куда-нибудь?
Сени эвинъе озгъармакъ мумкюнми?;Можно проводить тебя домой?
Сени эвинъе алып бармакъ мумкюнми?;Могу я подвезти тебя домой?
Эвиме кирмеге истейсинъми?;Хочешь зайти ко мне?
Акъшам гузель кечти;Я прекрасно провёл вечер
Сеннен вакъыт кечирмеге бегенем;Мне нравится проводить с тобой время
Не вакъыт даа корюширмиз?;Когда мы ещё встретимся?
Манъа СМС яз;Напиши мне СМС
Мен беклерим;Я буду ждать
Юрегимдесинъ!;Ты в моём сердце!
Мен сени бегенем!;Ты мне нравишься!
Мен пек сагъындым;Я очень соскучился
Сени сагъынам!;Я скучаю по тебе!
Къара севда олдым;Я влюблён по уши
Мен сени севем!;Я тебя люблю!
Сени кореджек козюм ёкъ!;Я тебя ненавижу!
Юрегимни якътынъ!;Ты разбил моё сердце!
Дост олайыкъ!;Давай дружить!
Опем!;Целую!
Кулюмсире!;Улыбнись!
Сеннен олмакъ истейим!;Я хочу быть с тобой!
Сенсиз яшап оламам!;Я не могу жить без тебя!
Сен меним бахтымсынъ!;Ты – моё счастье!
Мен сеннен берабер бир ястыкъта омрюмни кечирмеге азырым!;Я свою жизнь хочу провести вместе с тобой на одной подушке!
Джандан севмек;Души не чаять
Бита;Бабушка
Буюкана;Бабушка
Кадя;Брат
Къардаш;Брат
Агъа-къардашлар;Братья
Тул къадын;Вдова
Тул акъай;Вдовец
Торун;Внук
Торун;Внучка
Корюшип турмакъ;Встречаться
Дайымнынъ къызы;Двоюродная сестра
Эмджемнинъ къызы;Двоюродная сестра
Тиземнинъ къызы;Двоюродная сестра
Алапчемнинъ къызы;Двоюродная сестра
Эки догъмуш;Двоюродный
Дайымнынъ огълу;Двоюродный брат
Эмджемнинъ огълу;Двоюродный брат
Тиземнинъ огълу;Двоюродный брат
Алапчемнинъ огълу;Двоюродный брат
Къайын;Деверь
Къыз;Девушка
Яре;Девушка
Севгили;Девушка
Эвлят;Дитя
Къыз;Дочь
Дост;Подруга
Апай;Жена
Къары;Жена
Къадын;Жена
Эвли;Женатый
Эвли;Замужняя
Эвленмек;Жениться
Нишанлы;Жених
Киев;Жених
Къадын;Женщина
Берабер яшамакъ;Жить вместе
Корюмдже;Золовка
Киев;Зять
Энъиште;Зять
Яре;Парень
Севгили;Парень
Севимли апай;Любимая жена
Ана;Мама
Ана;Мать
Челеби;Младший брат мужа
Кендже;Младший
Кендже бала;Младший ребёнок
Келин-киев;Молодожёны
Янъы эвленгенлер;Молодожёны
Акъай;Муж
Къоджа;Муж
Эркек;Мужчина
Эр киши;Мужчина
Акъай;Мужчина
Эркек ве къадын;Мужчина и женщина
Нишанлы;Невеста
Келин;Невеста
Келин;Невестка
Енге;Невестка
Енгепче;Невестка
Дуду;Невестка
Баба;Отец
Баба;Папа
Огей къыз;Падчерица
Йигит;Парень
Огълан;Парень
Огей огъул;Пасынок
Тонгъуч;Первенец
Еген;Племянник
Джиен;Племянник
Еген;Племянница
Джиен;Племянница
Анасы кеч тапкъан бала;Поздний ребёнок
Къартанамнынъ анасы;Прабабушка
Къартбабамнынъ анасы;Прабабушка
Торунча;Правнук
Торунча;Правнучка
Деде;Прадед
Джиез;Приданое
Айырылгъан;Разведённый
Акъайындан айырылмакъ;Развестись
Апайындан айырылмакъ;Развестись
Айырылышмакъ;Развестись
Айырылышув;Развод
Анасы эрте тапкъан бала;Ранний ребёнок
Айырылышмакъ;Расстаться
Бала;Ребёнок
Ана-баба;Родители
Сой;Родственник
Сой;Родственница
Къуда;Сват
Къудапче;Сватья
Къудагъый;Сватья
Къайната;Свёкор
Къайнана;Свекровь
Корюшюв;Свидание
Бабадаш апте;Сводная сестра
Анадаш апте;Сводная сестра
Бабадаш агъа;Сводный брат
Анадаш агъа;Сводный брат
Баджанакъ;Свояк
Къайынбике;Свояченица
Балдыз;Свояченица
Къоранталы;Семейный
Апте;Сестра
Тата;Сестра
Оксюз;Сирота
Етим;Сирота
Уйкен;Старший
Челеби агъа;Старший брат мужа
Келин;Сноха
Куньдеш;Соперник
Уйкен бала;Старший ребёнок
Омюр аркъадашы;Супруг
Омюр аркъадашы;Супруга
Апай-акъай;Супружеская пара
Къары-къоджа;Супружеская пара
Огъул;Сын
Къайната;Тесть
Алапче;Тётя
Къайнана;Тёща
Бекяр;Холостой
Бойдакъ;Холостой
Къайын агъа;Шурин
Охшав сёзлери ве ибарелер;Ласкательные слова и выражения
Севимлим;Милая
Севимлим;Милый
Азизим;Дорогая
Азизим;Дорогой
Ярем;Любимый
Севгилим;Любимый
Ярем;Любимая
Севгилим;Любимая
Кунешим;Солнышко
Айым, йылдызым;Луна моя, звезда моя
Дюнья дюльберим;Моя самая красивая в мире
Алтыным;Золотце моё
Аппагъым!;Хорошенький мой!
Акъылданем;Умница ты моя
Арсланым;Мой лев
Асабам!;Дружочек мой!
Бал дудакълым;Губы как мёд
Балдан да татлы бебийим;Моё дитя слаще мёда
Балым;Ты мой мёд
Батырым;Мой богатырь
Бахтым;Счастье моё
Бурунчыгъым;Носик мой
Бульбулим;Соловей ты мой
Гогерджиним;Голубка моя
Гузелим!;Красивая моя
Дюльберим!;Красивая моя
Гуль черелим!;С лицом, похожим на розу!
Гулюм!;Розочка моя!
Къыдырлез лялем!;Тюльпан ты мой!
Дал фидан бойлум!;Стройная моя!
Индже беллим! Ёсмам!;Прелесть ты моя!
Ишанчым;Надежда моя
Йымшагъым;Мягкий ты мой
Козюмнинъ бебеги;Зеница ока моего
Кенджетайым!;Младшенький мой!
Кокте йылдызым!;В небе звезда ты моя!
Кичкенем!;Малютка моя!
Кунешчигим!;Солнышко ты моё!
Кулеръюзьлюм!;Улыбчивая ты моя!
Къара козьлюм!;Черноглазая моя!
Къарылгъачым!;Ласточка моя!
Къозучыгъым!;Ягнёночек мой!
Къокъулы гулюм!;Роза ароматная!
Къызым!;Дочка моя!
Къызчыгъым!;Доченька!
Къуванчым!;Радость моя!
Мавы козьлюм!;Голубоглазый мой!
Мелегим!;Ангелочек!
Меним батырым!;Мой богатырь!
Меним назлым!;Моя милая!
Мерданем! Сырлы козьлюм!;Сероглазый мой!
Назлым!;Милый мой!
Помпач;Пухленькая
Сабийим!;Моё дитя!
Султаным!;Царица моя!
Самыр къашлым!;Моя чернобровая!
Самыр сачлым!;С соболиными волосами!
Сия сачлым!;Брюнет ты мой!
Сырма сачлым!;Золотоволосая моя!
Татлы сёзлюм!;Сладкоречивый мой!
Татлы сеслим!;Сладкоголосая моя!
Татлым!;Сладкий мой!
Тотайчыгъым!;Моя красавица!
Тосуным!;Мой хороший!
Узун сачлым;Длинноволосая моя
Умютим;Надежда моя
Фиданчыгъым;Росточек мой
Ханийчигим;Моя госпожа
Чиппийим;Мой цыплёнок
Чипчем;Мой цыплёнок
Чечегим;Цветочек мой
Чифте бенълим!;С родинкой на щеке!
Чомпанай;Моя хорошая
Джаным;Душа моя
Джаным-козюм;Душа моя, глаза мои
Джаным-джигерим;Душа моя, сердце моё
Джаным-джигерим, балым-шекерим;Душа моя, сердце моё, мёд мой, сахар мой
Джемалым!;Моя красавица!
Джигерим!;Хороший мой!
Джигеримнинъ парчасы;Дорогой ты мой
Дживаным;Красавец мой
Джильвелим;Прелесть моя
Шайлым;Симпатичный мой
Шекерим;Ты мой сахар
Эвлядым!;Дитя моё!
Эки козюм!;Два моих глаза!
Эльмазым;Алмазик ты мой
Эля козьлюм;Кареглазый мой
Эльма янакълым;Моя розовощёкая
Эсмерим;Смуглый ты мой
Юрегимнинъ кошеси;Уголочек моего сердца
Юрегимнинъ парчасы;Кусочек моего сердца
Яврум;Дитя моё
Хасталыкълар;Болезни
Не дердинъиз бар?;На что жалуетесь?
Не еринъиз раатсызлай?;На что жалуетесь?
Сиз хасталандынъызмы?;Вы заболели?
Сагълыгъым еринде;Я здоров
Сагълыгъы ярамай;Здоровье у него неважное
Меним башым агъыра;У меня болит голова
Меним къулагъым агъыра;У меня болит ухо
Меним козюм агъыра;У меня болит глаз
Меним къурсагъым агъыра;У меня болит живот
Мына бу ерим агъыра;У меня болит вот здесь
Набзыны тутып бакъмакъ;Проверить пульс
Къан басымымны ольчемек истейим;Я хочу померить давление
Манъа сыджакъольчер беринъиз;Дайте мне градусник
Ола тургъан къан басымым нормаль;У меня обычно давление в норме
Ола тургъан къан басымым алчакъ;У меня обычно давление пониженное
Ола тургъан къан басымым юксек;У меня обычно давление повышенное
Ола тургъан къан басымым 120 80;У меня обычно давление 120 на 80
Кескин агърым бар;У меня острая боль
Теренден яваш агърым бар;У меня тупая боль
Сызлагъан агърым бар;У меня ноющая боль
Меним юрегим аджый;У меня душевная боль
Мен шым-шырыкъ олдым;Я насквозь промок
Сыджагъым бар;У меня высокая температура
Башым айлана;У меня кружится голова
Кучьлю тымавым бар;У меня сильный насморк
Мен пек оксюрем;У меня сильный кашель
Мен къустым;У меня была рвота
Аллергиям бар;У меня аллергия
Саругъым куе;У меня изжога
Иштаам бозулды;У меня плохой аппетит
Маддем бозулды;У меня плохой аппетит
Ашкъазаным агъыра;У меня болит желудок
Мидем агъыра;У меня болит желудок
Башым агъыра;У меня болит голова
Тишим агъыра;У меня болит зуб
Юрегим булана;Меня тошнит
Манъа нефес алмакъ зор;Мне трудно дышать
Манъа ичиме нефес алмакъ зор;Мне трудно вдыхать
Манъа нефес чыкъармакъ зор;Мне трудно выдыхать
Тюневин акъшам ярамадым;Мне стало плохо вчера вечером
Онынъ юкъусы къачкъан;У него бессонница
Юкъусызлыкъ чеке;Он страдает от бессонницы
Пармагъымны кестим;Я порезал палец
Мен йыкъылдым;Я упал
Топаллайым;Я хромаю
Мен сувукъландым;Я простудился
Мен пек оксюрем;Я сильно кашляю
Онынъ пармагъы янды;Он обжёг палец
Элимни чыкъардым;Я вывихнул руку
Эли сынгъан, гъалиба;Он, кажется, сломал руку
Элимни къайырдым;Я подвернул руку
Бугъумларым агъыра;Суставы болят
Бир къаза олды;Произошёл несчастный случай
Мен, гъалиба, сувукъландым;Я, кажется, простудился
Сыджагъым артыкъ ёкъ;Больше не температурю
Хастаханеде яттым, тюзельдим, чыкътым;Я лежал в больнице, вылечился, выписался
Ярамны багъламакъ керек;Мне нужно сделать перевязку
Сизни ёкъламагъа кельдик;Пришли вас проведать
Сувукъланувгъа къаршы илядж;Противопростудное лекарство
Саргъы багъламакъ;Наложить повязку
Саргъыны денъиштирмек;Сменить повязку
Саргъыны чыкъарынъыз;Снимите повязку
Къолуна ине урмакъ;Сделать укол в руку
Янбашына ине урмакъ;Сделать укол в ягодицу
Курек астына ине урмакъ;Сделать укол под лопатку
Яра аля даа тюзельмеди;Рана ещё не зажила
Манъа терапевт керек;Мне нужно к терапевту
Зайыфлангъан синъир системасы;Истощённая нервная система
Синъир системасыны сагълыкъкъа къавуштырмакъ;Восстанавливать нервную систему
Синъир тутанагъы олды;У него случился нервный срыв
Депрессиям бар;У меня депрессия
Серт бир диета тутам;Я сижу на строгой диете
Сюрекли хасталыкъ;Хроническое заболевание
Хастаны багъчагъа алып чыкъмакъ;Вывести больного в сад
Эсинъни джоймакъ;Упасть в обморок
Къоркъудан тап терим акъты!;От страха я аж вспотел!
Белимни агъырттым;Я надорвал поясницу
Бу, юкъунчлы бир хасталыкъ;Это заразная болезнь
Чырайынъыз ярамай;Вы неважно выглядите
Чырайынъызны бегенмейим;Ваш вид мне не нравится
Чырайынъыз къачкъан;Вы побледнели
Сиз пек денъишкенсинъиз къартайгъансынъыз;Вы очень изменились постарели
Сиз пек денъишкенсинъиз семиргенсинъиз;Вы очень изменились пополнели
Сиз пек денъишкенсинъиз арыкълагъансынъыз;Вы очень изменились похудели
Сиз пек денъишкенсинъиз тюзельгенсинъиз;Вы очень изменились поправились
Лютфен, синъирленменъиз!;Не нервничайте, пожалуйста!
Бир даа хасталанманъыз;Больше не болейте
Хасталанма!;Не болей!
Хасталыгъынъыз тезтез кечмиш олсун!;Выздоравливайте быстрее!
Яхшы, сагъ олунъыз;Спасибо, хорошо
Кечмиш олсун!;Будь здоров!
Кечмиш олсун!;Скорейшего выздоровления!
Алла сагълыгъынъызны берсин, тездже тюзелинъиз!;Пусть Бог пошлёт вам здоровья, выздоравливайте!
Хастахане;Больница
Экимде;У врача
Энъ якъын поликлиника къайда?;Где ближайшая поликлиника?
Энъ якъын хастахане къайда?;Где ближайшая больница?
Мени якъын хастаханеге алып кетинъ;Отвезите меня в ближайшую больницу
Шеэр хастаханеси къайда?;Где находится городская больница?
Лютфен, экимни чагъырынъыз!;Вызовите, пожалуйста, врача
Лютфен, дохтурны чагъырынъыз!;Вызовите, пожалуйста, врача
Лютфен, аджеле ярдымны чагъырынъыз!;Вызовите, пожалуйста, скорую помощь
Экимни эвиме чагъырмакъ истейим;Я хочу вызвать врача на дом
Эмширени чагъырынъыз!;Позовите медсестру!
Не хасталыгъы бар?;Чем он болен?
Козьлеринъизни ачынъыз;Откройте глаза
Агъзынъызны ачынъыз;Откройте рот
Тилинъизни косьтеринъиз;Покажите язык
Сыджагъынъызны ольчедилерми?;Вашу температуру измерили?
Сыджагъынъыз котерильди;У вас поднялась температура
Агъырамы?;Есть ли боли?
Агъыргъан еринъизни косьтеринъиз;Покажите, где болит
Нефес алынъыз;Дышите
Терендже нефес алынъыз;Дышите глубже
Бу ерге ятсанъыз;Прилягте здесь, пожалуйста
Турунъыз;Встаньте
Отурынъыз;Сядьте
Элимни сыкъынъыз;Сожмите мне руку
Биз сизге ярдым этермиз;Мы вам поможем
Къанынъызны анализге бермек керексинъиз;Вам нужно сдать анализы крови
Сийдигинъизни анализге бермек керексинъиз;Вам нужно сдать анализы мочи
Неджасетинъизни анализге бермек керексинъиз;Вам нужно сдать анализы кала
Пармакътан къан бермек;Сдать кровь из пальца
Венадан къан бермек;Сдать кровь из вены
Дамардан къан бермек;Сдать кровь из вены
Операциядан сонъ хасталыгъы агъырлашты;У него осложнение после операции
Амелияттан сонъ хасталыгъы агъырлашты;У него осложнение после операции
Ашылавдан сонъ хасталыгъы агъырлашты;У него осложнение после прививки
Балалыгъынъызда чичек хасталыгъына огърадынъызмы?;Болели ли вы в детстве оспой?
Балалыгъынъызда къызамыкъ хасталыгъына огърадынъызмы?;Болели ли вы в детстве корью?
Балалыгъынъызда сарылыкъ хасталыгъына огърадынъызмы?;Болели ли вы в детстве желтухой?
Диагнозыны не къойдылар?;Какой диагноз ему поставили?
Рентген япмакъ керек;Нужно сделать рентген
Сизге тёшектен турмакъ мумкюн дегиль;Вам нельзя вставать с постели
Хастанынъ алы тургъун;Состояние больного стабильное
Хастанынъ алы яхшылаша;Состояние больного улучшается
Хастанынъ алы феналаша;Состояние больного ухудшается
Хастанынъ алы агъыр;Состояние больного тяжелое
Хастанынъ алы орта къарар агъыр;Состояние больного средней тяжести
Хасталарны корювден кечирмек;Проводить осмотр больных
Тишимде оюкъ бар;У меня дырка в зубе
Тишни буравламакъ;Сверлить зуб
Пломба къоймакъ;Поставить пломбу
Пломба къойдурмакъ;Поставить пломбу
Тиш къаплатмакъ;Поставить коронку на зуб
Оданы сыкъча аваландырмакъ керек;Почаще нужно проветривать комнату
Оны тезден хастаханеден чыкъарырлар;Его скоро выпишут из больницы
Тазиемизни бильдиремиз;Примите наши соболезнования
О ольди;Он умер
Къасабамызда тиббиет хызмети ёкъ;У нас в посёлке отсутствует медицинское обслуживание
Эбанай;Акушерка
Иштаа;Аппетит
Мадде;Аппетит
Агъыраякълы;Беременная
Юклю;Беременная
Сепкиль;Веснушки
Эким;Врач
Дохтур;Врач
Терапевт;Терапевт
Тедавийджи;Терапевт
Хирург;Хирург
Джеррах;Хирург
Козь дохтуры;Глазной врач
Тиш дохтуры;Зубной врач
Чыкъыкъ;Вывих
Солукълыкъ;Вялость
Солукъ;Вялый
Юкъары басым;Верхнее давление
Ашагъы басым;Нижнее давление
Оть;Желчь
Юкътурмакъ;Заразить
Огърамакъ;Заразиться
Саругъ куймеси;Изжога
Юкъунч;Инфекция
Неджасет;Кал
Тери;Кожа
Азув тиш;Коренной зуб
Тиш къапы;Коронка
Къанав;Кровотечение
Къан;Кровь
Къан басымы;Кровяное давление
Эмшире;Медсестра
Насыр;Мозоль
Къабарчыкъ;Мозоль
Сийдик;Моча
Синъир;Нерв
Асап;Нерв
Байгъынлыкъ;Обморок
Байылмакъ;Падать в обморок
Эсини джоймакъ;Падать в обморок
Нефес тарлыгъы;Одышка
Яныкъ;Ожог
Ушюп къалтырав;Озноб
Операция;Операция
Амелият;Операция
Яхшы табиатлы шишик;Доброкачественная опухоль
Яман табиатлы шишик;Злокачественная опухоль
Саргъылав;Перевязка
Яраны саргъыламакъ;Делать перевязку
Саргъы;Повязка
Исал;Понос
Тер;Пот
Ашы;Прививка
Ашыламакъ;Делать прививку
Набыз;Пульс
Кобек;Пупок
Локъсахане;Родильный дом
Бенъ;Родинка
Локъса;Роженица
Санитар;Санитар
Аджеле ярдым;Скорая помощь
Такъатсызлыкъ;Слабость
Козьяш;Слеза
Тюкюрик;Слюна
Олюм;Смерть
Юкъулылыкъ;Сонливость
Сюмюк;Сопли
Дамар;Сосуд
Бугъум;Сустав
Эшкен;Сыпь
Тёкме;Сыпь
Травма;Травма
Инелев;Укол
Ине урув;Укол
Ине урмакъ;Делать укол
Инелемек;Делать укол
Адам;Человек
Инсан;Человек
Апханеде;В аптеке
Мында энъ якъын апхане къайда, айтсанъыз?;Скажите, пожалуйста, где здесь ближайшая аптека?
Мында невбетчи апхане къайда, айтсанъыз?;Скажите, пожалуйста, где здесь дежурная аптека?
Рецептинъиз бармы?;У вас есть рецепт?
Бармы?;Есть у вас?
Бу иляджны къайда тампакъ мумкюн?;Где можно найти это лекарство?
Манъа мына бу илядж керек;Мне нужно вот это лекарство
Бу илядж тек рецептнен сатыла;Это лекарство отпускается только по рецепту
Манъа бу рецептке коре илядж япа билесинъизми?;Вы можете приготовить для меня лекарство по этому рецепту?
Не вакъыт азыр олур?;Когда оно будет готово?
Манъа баш агърысына къаршы аплар керек;Мне нужны таблетки от головной боли
Манъа оксюрикке къаршы аплар керек;Мне нужны таблетки от кашля
Манъа аллергиягъа къаршы аплар керек;Мне нужны таблетки от аллергии
Лютфен, манъа агърысызлагъры илядж беринъиз;Дайте мне, пожалуйста болеутоляющее лекарство
Лютфен, манъа токътатыджы илядж беринъиз;Дайте мне, пожалуйста болеутоляющее лекарство
Лютфен, манъа басым тюшюриджи илядж беринъиз;Дайте мне, пожалуйста средство для снижения давления
Тиш агърысына къаршы бир шей тевсие эте билесинъизми?;Можете порекомендовать что-то от зубной боли?
Тымавгъа къаршы бир шей тевсие эте билесинъизми?;Можете порекомендовать что-то от насморка?
Саругъ куймесине къаршы бир шей тевсие эте билесинъизми?;Можете порекомендовать что-то от изжоги?
Кунеш яныгъына къаршы бир шей бере билесинъизми?;Вы можете дать мне что-нибудь от солнечного ожога?
Азымсызлыкъкъа къаршы бир шей тевсие этинъиз;Посоветуйте чтонибудь от несварения
Къабызгъа къаршы бир шей тевсие этинъиз;Посоветуйте чтонибудь от запора
Исалгъа къаршы бир шей тевсие этинъиз;Посоветуйте чтонибудь от поноса
Манъа оксюрикке къаршы сироп керек;Мне нужен сироп от кашля
Бу иляджны насыл ичмели?;Как принимать это лекарство?
Иляджны аштан эвель ичмели;Лекарство пить перед едой
Иляджны ашагъанда ичмели;Лекарство пить во время еды
Иляджны аштан сонъ ичмели;Лекарство пить после еды
Иляджны юкъудан эвель ичмели;Лекарство пить перед сном
Куньде къач кере?;Сколько раз в день?
Къачар тамчы?;По сколько капель?
Къачар ап?;По сколько таблеток?
Куньде учь кере бирер ап ичмек керек;Принимать по одной таблетке три раза в день
Спрейми, чайкъалув ичюн иринтими?;Вам спрей или раствор для полоскания?
Бу илядждан юкъу истеги ола биле;Это лекарство может вызвать сонливость
Буны иле берабер ичмек мумкюн дегиль;Это нельзя сочетать с …
Акиссебеплерни дикъкъатнен окъуныз;Внимательно прочитайте противопоказания
Бу илядж манъа келишмей;Мне не подходит это лекарство
Ондан къурсагъым агъыра;У меня от него болит живот
Бу иляджнынъ ян эффектлери ёкъ;У этого лекарства нет побочных эффектов
Сувукъланувгъа къаршы бир илядж беринъиз;Дайте мне лекарство от простуды
Сувукъланувгъа къаршы яхшы бир иляджынъыз бармы?;У вас есть хорошее средство от простуды?
Къайсы бир крем тевсие этерсинъиз?;Какой крем можете предложить?
Эшкеним бар;У меня сыпь
Бу мельэмни къулланып бакъмагъа тевсие этем;Предлагаю вам попробовать эту мазь
Антибиотик;Антибиотик
Бинт;Бинт
Памукъ;Вата
Сыджакъольчер;Градусник
Къыздырыджы;Грелка
Талиматнаме;Инструкция
Инъекция;Инъекция
Тамчылар;Капли
Мельэм;Мазь
Марля;Марля
Тентюр;Настойка
Тамчылыкъ;Пипетка
Ян эффект;Побочный эффект
Себеплер;Показания
Акиссебеплер;Противопоказания
Иринти;Раствор
Сироп;Сироп
Ич бошаттырыджы;Слабительное
Спрей;Спрей
Ап;Таблетка
Шприц;Шприц
Беден мучелери;Части тела
Cан;Бедро
Баджакъ;Бедро
Къамбур;Горб
Богъаз;Горло
Тамакъ;Гортань
Кокрек къафеси;Грудная клетка
Кокюс;Грудь
Кокрек;Грудь
Къурсакъ;Живот
Къарын;Живот
Билек;Запястье
Балдыр;Икра
Эль;Кисть
Тиз;Колено
Юмрукъ;Кулак
Авуч;Ладонь
Юзь;Лицо
Бет;Лицо
Манълай;Лоб
Тобукъ;Лодыжка
Тирсек;Локоть
Курек;Лопатка
Аякъ;Нога
Тырнакъ;Ноготь
Пармакъ;Палец
Омуз;Плечо
Белькемик;Позвоночник
Эркеклик мучеси;Половой член
Коть;Попа
Бель;Поясница
Табан;Пятка
Къабургъа;Ребро
Къол;Рука
Эль;Рука
Такълет;Скелет
Меме;Сосок
Аркъа;Спина
Сырт;Спина
Табан;Стопа
Бель;Талия
Беден;Тело
Тен;Тело
Эндам;Фигура
Кемирчек;Хрящ
Боюн;Шея
Тобукъ;Щиколотка
Янбаш;Ягодица
Баш мучелери;Части головы
Сакъал;Борода
Къаш;Бровь
Козь къапагъы;Веко
Самай;Висок
Чеке;Висок
Сач;Волосы
Козь;Глаз
Баш;Голова
Дудакъ;Губа
Кемер;Десна
Энъсе;Затылок
Козь бебеги;Зрачок
Тиш;Зуб
Баш тёпеси;Макушка
Мий;Мозг
Бурун;Нос
Сакъал;Подбородок
Кирпик;Ресница
Агъыз;Рот
Джакъ;Скула
Мыйыкъ;Усы
Къулакъ;Ухо
Буллюрчик;Хрусталик
Перчем;Чёлка
Перчем;Чуб
Ченге;Челюсть
Къафа;Череп
Янакъ;Щека
Ички мучелер;Внутренние органы
Бронхлар;Бронхи
Он эки пармакъ ичек;Двенадцатиперстная кишка
Ашкъазан;Желудок
Миде;Желудок
Оть пускасы;Жёлчный пузырь
Ичеклер;Кишечник
Ичек;Кишка
Акъ джигер;Лёгкие
Сийдик къувугъы;Мочевой пузырь
Къара джигер;Печень
Миде асты бези;Поджелудочная железа
Буйреклер;Почки
Талакъ;Селезёнка
Юрек;Сердце
Кекирдек;Трахея
Трахея;Трахея
Йымырталыкъ;Яичник
Пармакълар;Пальцы
Баш пармакъ;Большой палец
Ишарет пармакъ;Указательный палец
Орта пармакъ;Средний палец
Адсыз пармакъ;Безымянный палец
Чинатий пармакъ;Мизинец
Кёр тырнакъ;Вросший ноготь
Къыяфет;Внешность
Яш;Возраст
Сорамасы айып олмасын, къач яшындасынъыз?;Прошу прощения, сколько вам лет?
Къач яшындасынъ?;Сколько тебе лет?
О, къач яшында?;Сколько ему лет?
Агъанъыз къач яшында?;Сколько лет вашему брату?
Огълан къардашынъыз къач яшында?;Сколько лет вашему брату?
Аптенъиз къач яшында?;Сколько лет вашему сестре?
Татанъыз къач яшында?;Сколько лет вашему сестре?
Къыз къардашынъыз къач яшында?;Сколько лет вашему сестре?
Огълунъыз къач яшында?;Сколько лет вашему сыну?
Къызынъыз къач яшында?;Сколько лет вашему дочери?
Торунынъыз къач яшында?;Сколько лет вашему внуку?
Йигирми яшындам;Мне двадцать лет
О, къарарнен йигирми яшында;Ему около двадцати
О, йигирми яшларында;Ему лет двадцать
Яшы къыркъкъа якъын;Ей под сорок
Яшы эллиден зияде;Ему за пятьдесят
О энди эсли-башлы адам;Он уже пожилой мужчина
Эки-учь йыл эвель юбилейи эди;У него был юбилей года 2-3 назад
Эки бинъ он еди сенеси биз таныш олгъанда яшы къыркътан зияде эди;Когда мы познакомились в 2017 ему уже было за сорок
Он секиз яшымны толдурмадым;Мне ещё нет восемнадцати
О тезден йигирми яшыны толдураджакъ;Ему скоро исполнится двадцать лет
Йигирми яшыны кечти;Он разменял третий десяток
Кечкен афта джума куню отуз бир яшымны толдурдым;Мне исполнилось 31 в пятницу на прошлой неделе
Яшынъыздан даа яш корюнесинъиз;Вы выглядите моложе своих лет
Анасы пек яш корюне;Её мама выглядит очень молодо
Онынъ огълу о къадар буюк олгъаныны акълыма биле кетирип оламадым;Никогда бы не подумала, что у неё такой взрослый сын
Къызынен тата-къардаш киби корюнелер;Они с дочкой выглядят как сёстры
Яшына коре корюне;Она выглядит на свой возраст
Яшындан он яш зияде корюне;Она выглядит старше лет на десять
Энъ аз къыркъ беш яшындадыр белледим;Я думала, ей минимум сорок пять
Мен догъгъанда къартанам пенсиягъа чыкъты;Бабушка вышла на пенсию, когда я родился
О менден эки кере буюк;Он вдвое старше меня
О менден дёрт яш буюк;Он старше меня на четыре года
Еди яшындан кучюк балалар;Дети младше семи лет
Алтмыш яшындан буюк адамлар;Люди старше шестидесяти лет
Сиз даа яшсынъыз;Вы ещё молоды
Биз акъран экенмиз;Мы, оказывается, ровесники
Не вакъыт догъдынъыз?;Когда вы родились?
Къайда догъдынъыз?;Где вы родились?
Бинъ докъуз юз докъсан эки сенеси Ялтада догъдым;Я родился в 1992 году в Ялте
Бинъ докъуз юз алтмыш учь сенеси июльнинъ йигирми бешинде догъдым;Я родилась 25 июля 1963 года
Ярын догъгъан кунюм оладжакъ;Завтра день моего рождения
Сачлары сары;У неё светлые волосы
Сачлары сия;У неё темные волосы
Сачлары къара;У неё темные волосы
Сачлары сарышын;У неё русые волосы
Сачлары джийрен;У неё рыжие волосы
Бою не къадар?;Какой у него рост?
Бою юз сексен сантиметр;Его рост метр восемьдесят
О, алчакъ бойлу;Он низкого роста
О, узун бойлу;Он высокого роста
О, юксек бойлу;Он высокого роста
О, орта бойлу;Он среднего роста
О, тюзгюн эндамлы огълан;Он стройный юноша
О, арыкъ;Он худой
О, шишман;Он толстый
О, семиз;Он полный
О, кесментик;Он приземистый
О, алатлы;Он грузный
О, атлетик пичимли;Он атлетического сложения
О, нарин;Он изящный
О, арыкъ;Он костлявый
О, адалели;Он мускулистый
О, юзьден арыкълады;Он осунувшийся
О, алчакъ бойлу;Он низкий
О, кесментик;Он коренастый
О, мазаллы;Он дородный
Онынъ сырты къамбурлангъан;Он сутулый
Чеким етмиш беш кило;Я вешу семьдесят пять килограмм
Индже бель;Тонкая талия
Балабан къурсакъ;Большой живот
Миниатюр эндам;Миниатюрная фигура
